id	description	dev/test	answer（S2の文法性・適切性判断含む）	phenomena	inference_type（unknownの場合、S2の文法性・適切性が低い場合は空欄）	P1	P2	H	note														
Adj1	《同じ：同一性を表す「同じ」：コピュラ文》		yes	"Adjective, onazi (adjective)"	entailment	この写真の人と、今テレビに映っている人は同じ人だ。	この写真の人は山田だ。	今テレビに映っている人は山田だ。															
Adj2	《同じ：同一性を表す「同じ」：コピュラ文》		yes	"Adjective, onazi (adjective)"	entailment	太郎が一番行きたがっている大学と、花子が今通っている大学は同じ大学だ。	太郎が一番行きたがっている大学は京都大学だ。	花子が今通っている大学は京都大学だ。															
Adj3	《同じ：同一性を表す「同じ」：コピュラ文》		yes	"Adjective, onazi (adjective)"	entailment	太郎が最初に結婚したときの年齢と、花子に長男が生まれたときの年齢は同じだ。	太郎が最初に結婚したときの年齢は31歳だ。	花子に長男が生まれたときの年齢は31歳だ。															
Adj4	《同じ：同一性を表す「同じ」：コピュラ文》		yes	"Adjective, onazi (adjective)"	entailment	この写真の人と、今テレビに映っている人は同じ人だ。	今テレビに映っている人は山田だ。	この写真の人は山田だ。															
Adj5	《同じ：同一性を表す「同じ」：コピュラ文》		yes	"Adjective, onazi (adjective)"	entailment	太郎が一番行きたがっている大学と、花子が今通っている大学は同じ大学だ。	花子が今通っている大学は京都大学だ。	太郎が一番行きたがっている大学は京都大学だ。															
Adj6	《同じ：同一性を表す「同じ」：コピュラ文》		yes	"Adjective, onazi (adjective)"	entailment	太郎が最初に結婚したときの年齢と、花子に長男が生まれたときの年齢は同じだ。	花子に長男が生まれたときの年齢は31歳だ。	太郎が最初に結婚したときの年齢は31歳だ。															
Adj7	《同じ：同一性を表す「同じ」：非コピュラ文》		yes	"Adjective, onazi (adjective)"	entailment	太郎と花子は同じ年に生まれた。	太郎は1977年に生まれた。	花子は1977年に生まれた。	常識が必要（生年は誰にとっても一つしかない）														
Adj8	《同じ：同一性を表す「同じ」：非コピュラ文》		yes	"Adjective, onazi (adjective)"	entailment	太郎と花子は同じ県の出身だ。	太郎は高知県の出身だ。	花子は高知県の出身だ。	常識が必要（出身地は誰にとってもおおよそ一つ）														
Adj9	《同じ：同一性を表す「同じ」：非コピュラ文》		yes	"Adjective, onazi (adjective)"	entailment	太郎と花子は2010年ごろに同じ部署で働いていた。	太郎は2010年ごろに人事部で働いていた。	花子は2010年ごろに人事部で働いていた。	常識が必要（ある時期に所属している部署は誰に取ってもおおよそ一つ）														
Adj10	《同じ：同一性を表す「同じ」：非コピュラ文》		yes	"Adjective, onazi (adjective)"	entailment	太郎と花子は同じ年に生まれた。	花子は1977年に生まれた。	太郎は1977年に生まれた。	常識が必要（生年は誰にとっても一つしかない）														
